stabbr,zip
PA,17027
PA,17033
PA,17042
PA,17044
PA,17055
PA,17057
PA,17060
PA,17067
PA,17093
PA,17101
PA,17104
PA,17109
PA,17110
PA,17111
PA,17112
PA,17201
PA,17202
PA,17237
PA,17257
PA,17301
PA,17325
PA,17331
PA,17401
PA,17402
PA,17403
PA,17404
PA,17512
PA,17551
PA,17584
PA,17601
PA,17602
PA,17603
PA,17604
PA,17608
PA,17701
PA,17745
PA,17801
PA,17815
PA,17837
PA,17870
PA,17876
PA,17901
PA,17931
PA,17972
PA,18015
PA,18017
PA,18018
PA,18020
PA,18034
PA,18042
PA,18052
PA,18078
PA,18101
PA,18102
PA,18104
PA,18106
PA,18109
PA,18201
PA,18202
PA,18301
PA,18360
PA,18372
PA,18411
PA,18440
PA,18459
PA,18503
PA,18505
PA,18507
PA,18508
PA,18509
PA,18510
PA,18512
PA,18612
PA,18627
PA,18634
PA,18702
PA,18704
PA,18705
PA,18711
PA,18766
PA,18816
PA,18848
PA,18901
PA,18940
PA,18974
PA,19001
PA,19002
PA,19007
PA,19008
PA,19009
PA,19010
PA,19013
PA,19014
PA,19020
PA,19027
PA,19029
PA,19034
PA,19038
PA,19041
PA,19046
PA,19047
PA,19053
PA,19054
PA,19056
PA,19063
PA,19064
PA,19079
PA,19081
PA,19082
PA,19085
PA,19087
PA,19090
PA,19095
PA,19096
PA,19102
PA,19103
PA,19104
PA,19106
PA,19107
PA,19110
PA,19114
PA,19116
PA,19118
PA,19119
PA,19122
PA,19124
PA,19125
PA,19128
PA,19130
PA,19131
PA,19134
PA,19136
PA,19138
PA,19141
PA,19144
PA,19146
PA,19147
PA,19149
PA,19152
PA,19154
PA,19319
PA,19320
PA,19335
PA,19341
PA,19345
PA,19352
PA,19355
PA,19383
PA,19401
PA,19403
PA,19406
PA,19422
PA,19426
PA,19437
PA,19440
PA,19446
PA,19454
PA,19460
PA,19462
PA,19464
PA,19530
PA,19533
PA,19601
PA,19603
PA,19605
PA,19607
PA,19610
PA,19611
PA,19612
DE,19701
DE,19702
DE,19711
DE,19713
DE,19716
DE,19720
DE,19801
DE,19803
DE,19805
DE,19808
DE,19901
DE,19939
DE,19947
DE,19958
DC,20001
DC,20002
DC,20005
DC,20006
DC,20007
DC,20008
DC,20012
DC,20016
DC,20017
DC,20018
DC,20024
DC,20036
DC,20037
DC,20052
DC,20057
DC,20059
DC,20064
VA,20109
VA,20111
VA,20121
VA,20151
VA,20158
VA,20166
VA,20170
VA,20190
MD,20602
MD,20619
MD,20646
MD,20686
MD,20705
MD,20706
MD,20708
MD,20715
MD,20723
MD,20724
MD,20742
MD,20743
MD,20746
MD,20748
MD,20754
MD,20774
MD,20783
MD,20784
MD,20785
MD,20814
MD,20850
MD,20852
MD,20877
MD,20901
MD,20902
MD,20903
MD,20906
MD,20910
MD,20912
MD,21012
MD,21014
MD,21015
MD,21031
MD,21043
MD,21044
