"","ID_IPEDS","year","degree_bach","public","enroll_ftug","grant_state","grant_federal"
"16181",221856,2011,1,0,87,205392.5667,88740
"16182",219824,2015,0,1,1830,4301582.37546,3810154.11324
"16183",219824,2014,0,1,1163,3282383.572713,1192235.012518
"16184",219824,2013,0,1,1168,3342231.19992,1124333.04688
"16185",219824,2011,0,1,1158,3346869.876714,977176.410144
"16186",219824,2010,0,1,1418,4254909.549158,1040315.91979
"16187",219824,2012,0,1,1168,3367872.342464,1111347.49152
"16188",450289,2015,0,0,38,172829.672868,0
"16189",450289,2014,0,0,64,273177.158208,0
"16190",450289,2012,1,0,53,169868.9962,707.02
"16191",450289,2011,1,0,16,68365,0
"16192",220118,2010,0,0,64,310226.39648,10035.2
"16193",220118,2011,0,0,57,175621.162824,9120
"16194",450261,2010,1,0,55,186793.855985,1833.7
"16195",450261,2013,1,0,51,194548.994976,0
"16196",450261,2014,1,0,55,171579.740695,0
"16197",220118,2013,0,0,26,75064.219672,11711.7
"16198",220118,2012,0,0,58,204602.25,10944.6
"16199",450261,2012,1,0,17,56133.544655,0
"16200",450289,2010,1,0,94,487651.25279,2506.98
"16201",450289,2013,0,0,69,289338.462312,919.08
"16202",450261,2011,1,0,11,32255.52,0
"16203",220118,2014,0,0,81,234220.41,27588.6
"16204",220118,2015,0,0,50,180655.0032,36666
"16205",443650,2012,0,0,80,311772.77432,7500
"16206",450492,2010,1,0,52,264975.36,0
"16207",458353,2014,0,0,39,124718.0025,0
"16208",458353,2011,0,0,62,205725.57621,0
"16209",458353,2013,0,0,28,95993.665264,0
"16210",450492,2011,1,0,42,215981.773938,0
"16211",443650,2011,0,0,60,219690.9972,3600
"16212",458353,2010,0,0,62,212793.105506,0
"16213",443650,2010,0,0,29,123778.2176,0
"16214",443650,2013,0,0,72,298562.246064,2880.36
"16215",443650,2015,0,0,62,309470.77854,5511.8
"16216",458353,2012,0,0,66,243518.330484,0
"16217",450492,2012,1,0,53,228722.996084,0
"16218",443650,2014,0,0,77,344901.545989,1540
"16219",484358,2014,0,0,235,725300.598375,0
"16220",451918,2014,0,0,36,155754.45,0
"16221",451918,2010,0,0,129,337210.932186,0
"16222",451918,2015,0,0,28,94131.813692,0
"16223",451918,2013,0,0,50,133124.005,0
"16224",451918,2011,0,0,228,459805.817952,0
"16225",451918,2012,0,0,110,261401.06916,0
"16226",484358,2015,0,0,207,484178.672835,0
"16227",220075,2012,1,1,2038,4145437.04446,6965696.027108
"16228",220075,2015,1,1,1980,4340198.62584,6271845.44976
"16229",220075,2010,1,1,2053,4916614.732,6486465.96171
"16230",220075,2011,1,1,2105,4661533.34075,7245673.6302
"16231",220075,2014,1,1,2025,4453559.7552,7208162.8245
"16232",220075,2013,1,1,1849,4114775.333445,6399744.65515
"16233",459648,2012,1,0,11,41812.712414,0
"16234",459648,2013,1,0,47,151395.847421,626.98
"16235",459648,2014,1,0,18,79748.56125,0
"16236",459648,2011,1,0,8,37615,0
"16237",459648,2010,1,0,57,226502.04,0
"16238",221908,2014,0,1,1060,2817075.87712,1562617.18536
"16239",221908,2011,0,1,967,2750131.99615,1268678.192704
"16240",221908,2015,0,1,1433,3488674.6116,3817412.671605
"16241",221908,2010,0,1,1140,3371425.57242,1085904.07932
"16242",221908,2013,0,1,896,2543753.611392,1310714.259456
"16243",221908,2012,0,1,951,2510516.66481,1200317.443803
"16244",220516,2010,1,0,227,522981.21627,468506.71875
"16245",220516,2014,1,0,188,384979.889184,303820.873488
"16246",220516,2011,1,0,174,332444.413224,385296.782724
"16247",220516,2013,1,0,241,426360.229262,435940.006736
"16248",220516,2012,1,0,226,466299.972138,498490.145634
"16249",220516,2015,1,0,154,349953.71103,231335.847204
"16250",220127,2014,0,1,666,1549877.4711,711462.2256
"16251",220127,2015,0,1,733,1623417.522375,777038.978646
"16252",220127,2012,0,1,755,757231.63957,604364.1516
"16253",220127,2010,0,1,795,1362155.067,581855.65209
"16254",220127,2013,0,1,592,1413470.47168,528279.463728
"16255",220127,2011,0,1,843,1255541.013285,719885.029392
"16256",221014,2011,1,0,204,328804.599408,621947.64996
"16257",221014,2010,1,0,176,303486.15968,453283.227584
"16258",486901,2015,1,0,187,226399.393154,450075.1717
"16259",221014,2013,1,0,206,320999.336436,604311.750728
"16260",221014,2012,1,0,174,245696.619264,477144.2442
"16261",221953,2012,1,0,331,932587.026584,811784.485755
"16262",221953,2014,1,0,298,898306.777056,781277.85993
"16263",221953,2010,1,0,370,1416079.55406,1062744.192
"16264",221953,2011,1,0,298,903098.5956,790018.533094
"16265",221953,2015,1,0,283,839112.439592,721945.894329
"16266",221953,2013,1,0,315,838506.191355,849323.31561
"16267",221397,2011,0,1,1068,2961544.720464,1752978.63168
"16268",221397,2012,0,1,916,2334614.66394,1530426.015244
"16269",220251,2013,0,1,380,818672.56544,311220
"16270",221397,2015,0,1,1105,2939101.240335,3294369.65884
"16271",221397,2013,0,1,886,2165189.7002,1396158.60951
"16272",221397,2014,0,1,854,1939938.5005,1410448.818702
"16273",220251,2011,0,1,323,757084.605724,329525.023776
"16274",221397,2010,0,1,1217,3463470.931712,1617186.347315
"16275",220251,2015,0,1,293,592863.916741,399909.04011
"16276",220251,2010,0,1,341,746806.31685,384593.435226
"16277",220251,2012,0,1,366,693653.94576,305087.619546
"16278",220251,2014,0,1,301,637859.955264,296844.178785
"16279",220631,2011,1,0,312,960667.135272,1330718.776296
"16280",220631,2012,1,0,234,670407.611328,642104.954946
"16281",220631,2013,1,0,185,481543.45415,843937.2883
